fen,move_uci
r1b1kbnr/pppp1ppp/2n5/8/1PP5/B1K5/6PP/1q1Q1BNR b kq - 1 13,b1d1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,b1c3
r1bqkbnr/ppp2ppp/2np4/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 4,d2d4
r1bqkbnr/ppp2ppp/2np4/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,c3d5
r2qkbnr/ppp2ppp/2npb3/3N4/3pP3/5N2/PPP2PPP/R1BQKB1R w KQkq - 2 6,c1d2
r2qkbnr/ppp2ppp/3pb3/3Nn3/3pP3/5N2/PPPB1PPP/R2QKB1R w KQkq - 4 7,f3e5
r2qkbnr/ppp2ppp/4b3/3Np3/3pP3/8/PPPB1PPP/R2QKB1R w KQkq - 0 8,d2a5
r2qkbnr/p1p2ppp/1p2b3/B2Np3/3pP3/8/PPP2PPP/R2QKB1R w KQkq - 0 9,a5b4
r2qkbnr/p4ppp/1pp1b3/3Np3/1B1pP3/8/PPP2PPP/R2QKB1R w KQkq - 0 10,a2a4
r2qkbnr/p4ppp/1p2b3/3pp3/PB1pP3/8/1PP2PPP/R2QKB1R w KQkq - 0 11,e4d5
r2qkbnr/p4ppp/1p6/3bp3/PB1p4/8/1PP2PPP/R2QKB1R w KQkq - 0 12,b4f8
r2q1knr/p4ppp/1p6/3bp3/P2p4/8/1PP2PPP/R2QKB1R w KQ - 0 13,d1h5
r2q1knr/p4p1p/1p4p1/3bp2Q/P2p4/8/1PP2PPP/R3KB1R w KQ - 0 14,h5e5
r2q1knr/p6p/1p3pp1/3bQ3/P2p4/8/1PP2PPP/R3KB1R w KQ - 0 15,e5d4
r2q1knr/p7/1p3ppp/3b4/P2Q4/8/1PP2PPP/R3KB1R w KQ - 0 16,c2c4
r2q1knr/p7/1p3ppp/8/P1bQ4/8/1P3PPP/R3KB1R w KQ - 0 17,d4e4
r2q1knr/p7/1p3ppp/3b4/P3Q3/8/1P3PPP/R3KB1R w KQ - 2 18,e4d3
2rq1knr/p7/1p3ppp/3b4/P7/3Q4/1P3PPP/R3KB1R w KQ - 4 19,d3g6
2rq1k1r/p3n3/1p3pQp/3b4/P7/8/1P3PPP/R3KB1R w KQ - 1 20,g6f6
2rq2kr/p3n3/1p3Q1p/3b4/P7/8/1P3PPP/R3KB1R w KQ - 1 21,f6f5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b1c3
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,g1f3
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,f1b5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b1c3
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,c3b5
rnbqkb1r/pppp1ppp/8/1N2p3/4n3/8/PPPP1PPP/R1BQKBNR w KQkq - 0 4,f2f3
rnbqkb1r/pppp1ppp/8/1N2p1n1/8/5P2/PPPP2PP/R1BQKBNR w KQkq - 1 5,d2d3
rnbqkb1r/pp1p1ppp/2p5/1N2p1n1/8/3P1P2/PPP3PP/R1BQKBNR w KQkq - 0 6,b5c3
rnbqk2r/pp1p1ppp/2p5/4p1n1/1b6/2NP1P2/PPP3PP/R1BQKBNR w KQkq - 2 7,d3d4
rnbqk2r/pp1p1ppp/2p5/6n1/1b1p4/2N2P2/PPP3PP/R1BQKBNR w KQkq - 0 8,d1d4
rnbqk2r/pp1p1ppp/2p1n3/8/1b1Q4/2N2P2/PPP3PP/R1B1KBNR w KQkq - 1 9,d4g4
rnbqk2r/pp1p1ppp/2p1n3/b7/6Q1/2N2P2/PPP3PP/R1B1KBNR w KQkq - 3 10,g4h5
rnbqk2r/ppbp1ppp/2p1n3/7Q/8/2N2P2/PPP3PP/R1B1KBNR w KQkq - 5 11,c3e4
rnbqk2r/ppbp1ppp/2p5/7Q/4Nn2/5P2/PPP3PP/R1B1KBNR w KQkq - 7 12,e4g5
rnbqk2r/ppbp1ppp/2p5/6Nn/8/5P2/PPP3PP/R1B1KBNR w KQkq - 0 13,f1c4
rnbqk2r/ppb2ppp/2p5/3p2Nn/2B5/5P2/PPP3PP/R1B1K1NR w KQkq - 0 14,c4b3
rnbqk2r/ppb3pp/2p2p2/3p2Nn/8/1B3P2/PPP3PP/R1B1K1NR w KQkq - 0 15,c2c4
